Label,Slug,Img,Link,Heading,Description,Price,Free Trial
SocialMedia,socialmedia6,https://uploads-ssl.webflow.com/5c5c715c2b0f591069822560/5dc9f884b7545f53dff6e447_T72.jpg,https://www.tumblr.com/,Tumblr,"Tumblr is a place to express yourself, discover yourself, and bond over the stuff you love. It's where your interests connect you with your people.",free,-
SocialMedia,socialmedia7,https://uploads-ssl.webflow.com/5c5c715c2b0f591069822560/5dc9f89c2f3232654c99c207_T65.jpg,https://twitter.com/?lang=en,Twitter,"From breaking news and entertainment to sports and politics, get the full story with all the live commentary.",free,-
SocialMedia,socialmedia8,https://uploads-ssl.webflow.com/5c5c715c2b0f591069822560/5dc9f8b62f323249ef99c245_T70.jpg,https://www.youtube.com/,Youtube,"Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube.",free,-
Video,video1,https://uploads-ssl.webflow.com/5c5c715c2b0f591069822560/5dc9ef5b0b137af58379eb21_T26.jpg,https://www.ripl.com,Ripl,Create eye-catching social media videos.,$14.99,Yes
Video,video2,https://uploads-ssl.webflow.com/5c5c715c2b0f591069822560/5dc9ef85b730b535914a6ebe_T27.jpg,https://www.adobe.com/products/premiere.html,Premiere Pro,"Premiere Pro is the leading video editing software for film, TV, and the web.",$20.99,Yes
Video,video3,https://uploads-ssl.webflow.com/5c5c715c2b0f591069822560/5dc9deccee803c4835e7b47d_T22.jpg,https://www.postermywall.com,PosterMyWall,"Create amazing Posters, Videos & Graphics For Your Business.",$9.98,Yes
Video,video4,https://uploads-ssl.webflow.com/5c5c715c2b0f591069822560/5dc9dc7466fd1b263e93d647_T28.png,https://biteable.com,Biteable,Make better videos than your competitors. On your lunch break.,$29,Yes
Video,video5,https://uploads-ssl.webflow.com/5c5c715c2b0f591069822560/5dc9f025b730b53a5f4a713e_T29.jpg,https://promo.com,Promo,All the videos you need to promote your business. Simply add your message and logo.,$49,Yes
Website,website1,https://uploads-ssl.webflow.com/5c5c715c2b0f591069822560/5dc9f5443020d02b410f7c80_T9.png,https://www.squarespace.com,Square Space,Squarespace is the all-in-one solution for anyone looking to create a beautiful website.,$12,Yes
Website,website2,https://uploads-ssl.webflow.com/5c5c715c2b0f591069822560/5dc9f6665f1e463f352ac89c_T10.png,https://www.shopify.com,Shopify,"We're not just an ecommerce software, Shopify is the best ecommerce platform that has everything you need to sell online, on social media, or in person.",$29+,Yes
Website,website3,https://uploads-ssl.webflow.com/5c5c715c2b0f591069822560/5dc9f64b3020d0b3fb0f83a4_T11.png,https://www.wix.com,Wix,Create a free website with Wix.com. Choose a stunning template and customize anything with the Wix website builder—no coding skills needed.,$11+,Yes
Website,website4,https://uploads-ssl.webflow.com/5c5c715c2b0f591069822560/5dc9f6292f3232fc3599a996_T12.jpg,https://webflow.com,Webflow,"Build responsive websites in your browser, then host with us or export your code to host wherever. Discover the professional website builder made for designers.",$12+,Yes
Website,website5,https://uploads-ssl.webflow.com/5c5c715c2b0f591069822560/5dc9f5fc5f1e469e662ac621_T13.png,https://wordpress.org,Wordpress,"Create a free website or build a blog with ease on WordPress.com. Dozens of free, customizable, mobile-ready designs and themes. Free hosting and support.",free,No
Website,website6,https://uploads-ssl.webflow.com/5c5c715c2b0f591069822560/5dc9f5b13020d0b2e20f7e35_T14.jpg,https://us.webnode.com,Webnode,Save your hard-earned money and make your own website yourself in minutes.,-,No
Website,website7,https://uploads-ssl.webflow.com/5c5c715c2b0f591069822560/5dc9f595b730b5a51a4ab5a9_T15.jpg,https://www.website.com,Website.com,Website.com makes it easy for you to create a website and grow your business online with ecommerce and SEO solutions all in one place.,-,Yes
